Size,Name,Threads,Mean,Stddev,Min,Max
10000,SerialSum,1,0.1,0,0.1,0.1
10000,GlobalSum,1,0.1135332,0.026878628738171234,0.087791,0.150542
10000,TreeStructuredSum,1,0.09509980000000001,0.015718368630363647,0.084208,0.130791
10000,GlobalSum,2,0.0779502,0.006976187064260504,0.073833,0.09575
10000,TreeStructuredSum,2,0.0494378,0.004075012987027704,0.044459,0.05675
10000,GlobalSum,4,0.0908711,0.012795431775529198,0.076292,0.111917
10000,TreeStructuredSum,4,0.09524169999999998,0.015913615498475933,0.072709,0.121958
10000,GlobalSum,8,0.1257792,0.021537596011522633,0.09025,0.161167
10000,TreeStructuredSum,8,0.1405292,0.011234745843933353,0.1295,0.159625
10000,GlobalSum,16,0.20368750000000002,0.03063925991001306,0.159,0.23575
10000,TreeStructuredSum,16,0.23065839999999999,0.016241210957862025,0.213375,0.269375
10000,GlobalSum,32,0.37707109999999994,0.014735652226638772,0.35975,0.403709
10000,TreeStructuredSum,32,0.3709669,0.03311305687908893,0.317167,0.410125
10000,GlobalSum,64,0.6402249999999999,0.03754832820068912,0.564875,0.698583
10000,TreeStructuredSum,64,0.5304416,0.046535563337683536,0.474834,0.605708
10000,GlobalSum,128,0.9929834999999999,0.042207671836211665,0.946458,1.072375
10000,TreeStructuredSum,128,1.0162582,0.03779990940259572,0.968208,1.082416
100000,SerialSum,1,0.463791,0,0.463791,0.463791
100000,GlobalSum,1,0.43384980000000006,0.0293110012558804,0.386083,0.468666
100000,TreeStructuredSum,1,0.40420829999999996,0.016350356965522186,0.391625,0.438333
100000,GlobalSum,2,0.21960829999999998,0.01275223312077797,0.202625,0.236792
100000,TreeStructuredSum,2,0.22407499999999997,0.00832960547285004,0.209542,0.234042
100000,GlobalSum,4,0.1413793,0.007339929458486336,0.131167,0.15125
100000,TreeStructuredSum,4,0.1443668,0.008974485584762566,0.132417,0.160458
100000,GlobalSum,8,0.1287458,0.024503905406644426,0.113375,0.19425
100000,TreeStructuredSum,8,0.1370708,0.010504087974582934,0.121125,0.154
100000,GlobalSum,16,0.1448127,0.006163870069472051,0.131708,0.1525
100000,TreeStructuredSum,16,0.16693750000000002,0.011160191229444847,0.154458,0.187334
100000,GlobalSum,32,0.20587499999999997,0.010699323426169423,0.190875,0.227167
100000,TreeStructuredSum,32,0.2510539,0.01396575769078706,0.237,0.282208
100000,GlobalSum,64,0.4597251000000001,0.015551562368456751,0.442917,0.481167
100000,TreeStructuredSum,64,0.4689916,0.019292871903028502,0.443292,0.501958
100000,GlobalSum,128,0.9332124,0.01766416505684759,0.907833,0.975333
100000,TreeStructuredSum,128,0.9442375999999999,0.036048356890278466,0.899417,1.033375
1000000,SerialSum,1,3.718,0,3.718,3.718
1000000,GlobalSum,1,3.7151415,0.02869194379864221,3.682291,3.76075
1000000,TreeStructuredSum,1,3.7441042,0.040926791227480476,3.711792,3.845083
